# id,kind,polarity,title,content,tags,confidence,utility,triage_json,antipattern_json,agentId,taskId,summary,whenToUse,howToApply,gotchas,evidence,outcome,validFromIso,validToIso,scopeRepo,scopePackage,scopeModule,scopeRuntime,scopeVersions,concepts,symptoms,filePaths,toolNames,errorSignatures,signals_json,distilled_json,contentHash
id,kind,polarity,title,content,tags,confidence,utility,triage_json,antipattern_json,agentId,taskId,summary,whenToUse,howToApply,gotchas,evidence,outcome,validFromIso,validToIso,scopeRepo,scopePackage,scopeModule,scopeRuntime,scopeVersions,concepts,symptoms,filePaths,toolNames,errorSignatures,signals_json,distilled_json,contentHash
mem_prompt_builder_layout,procedural,positive,Prompt builder three panel layout,Use a three panel layout with editor filters and preview,prompt-builder|ux|ui|agent|memory,0.84,0.35,"{""symptoms"":[""unclear ui"",""user confusion""],""likelyCauses"":[""missing preview""],""verificationSteps"":[""Confirm preview shows cited blocks""],""fixSteps"":[""Add preview panel""],""gotchas"":[""Do not auto run on input""]}",
mem_ux_progressive_disclosure,semantic,positive,Progressive disclosure reduces cognitive load,Show the primary path first and reveal advanced controls when needed,ux|ui|principles|progressive-disclosure,0.85,0.30,,
mem_primary_cta,semantic,positive,Use one primary action button,Prefer a single primary CTA to clarify intent and reduce mistakes,ux|ui|cta,0.80,0.25,,
mem_antipattern_autorun_keystroke,semantic,negative,Anti pattern auto run on every keystroke,Do not run expensive actions on each keystroke,ux|ui|performance|antipattern,0.90,0.20,,"{""action"":""Auto running agent on every keystroke"",""whyBad"":""Causes cost spikes and poor UX"",""saferAlternative"":""Use explicit Retrieve and Run buttons""}"
mem_async_ui_states,semantic,positive,Expose async states clearly,Show loading success and error states in place and keep messages visible,ux|ui|async,0.80,0.25,,
mem_a11y_semantic_html,semantic,positive,Prefer semantic HTML for forms,Use labels and aria attributes to make errors discoverable,accessibility|html|forms,0.82,0.25,,
mem_antipattern_toast_only_errors,semantic,negative,Anti pattern toast only validation errors,Avoid toast only errors because users miss them,ux|ui|forms|antipattern,0.88,0.20,,"{""action"":""Showing validation errors only in toasts"",""whyBad"":""Users miss critical feedback"",""saferAlternative"":""Inline errors next to fields""}"
mem_episode_toast_abandonment,episodic,negative,Episode toast errors caused abandonment,Toast only errors led to abandonment during testing,episodic|ux|forms,0.75,0.15,,
mem_episode_hydration_fix,episodic,positive,Episode fixed React hydration mismatch,Removed non deterministic server values from initial render,react19|episodic,0.78,0.20,,
mem_episode_autorefresh_cost_spike,episodic,negative,Episode auto refresh caused cost spike,Auto refresh on input caused many API calls,episodic|performance,0.78,0.15,,
mem_react_chip_filters,procedural,positive,Chip filter input keyboard support,Use Enter to add and Backspace to remove last chip,react|ui|chips|a11y,0.82,0.30,"{""symptoms"":[""need tags input""],""likelyCauses"":[""missing keyboard support""],""verificationSteps"":[""Test Enter and Backspace""],""fixSteps"":[""Implement controlled chips""],""gotchas"":[""Avoid duplicate chips""]}",
mem_episode_chip_testing,episodic,positive,Episode chip input testing improved UX,User testing showed keyboard shortcuts were required,episodic|ui|chips,0.74,0.15,,
mem_fix_npm_eacces_macos,procedural,positive,Fix npm EACCES in node_modules on macOS,Resolve EACCES permission denied in node_modules during npm install by setting a user owned npm prefix and fixing cache ownership,npm|macos|permissions|node_modules,0.96,0.40,"{""symptoms"":[""eacces"",""permission denied""],""likelyCauses"":[""wrong npm prefix""],""verificationSteps"":[""Run npm config get prefix""],""fixSteps"":[""Set prefix to user dir""],""gotchas"":[""Avoid sudo npm install""]}",,,,Fix EACCES permission denied while writing node_modules on macOS; avoid sudo and use a user owned prefix.,EACCES|permission denied|node_modules|npm install|macos,npm config set prefix ~/.npm-global|export PATH=$HOME/.npm-global/bin:$PATH|sudo chown -R $(whoami) ~/.npm ~/.npm-global,Do not sudo npm install|Check prefix is not /usr/local,EACCES: permission denied|node_modules,success,,,neo4j-agent-memory-demo,demo-api,,node,20,npm|permissions|filesystem,eacces|permission denied,node_modules|package.json,npm,EACCES: permission denied,,,
mem_episode_npm_eacces_resolved,episodic,positive,Episode resolved npm EACCES for node_modules,Changed npm prefix and reinstalled dependencies successfully after EACCES in node_modules,episodic|npm|node_modules,0.76,0.20,,,,,EACCES resolved after prefix change,EACCES|node_modules|npm install,,Avoid sudo npm install,,success,,,neo4j-agent-memory-demo,demo-api,,node,20,npm|permissions,eacces|permission denied,,,,,,
mem_antipattern_sudo_npm,semantic,negative,Anti pattern using sudo with npm,Avoid sudo npm install; it creates root owned node_modules and hides the real permissions issue,npm|security|antipattern|node_modules,0.92,0.20,,"{""action"":""Using sudo npm install"",""whyBad"":""Creates root owned files and security risk"",""saferAlternative"":""Fix prefix and cache ownership""}",,,Using sudo creates root owned node_modules and recurring EACCES,sudo npm install|node_modules|EACCES,,Fix prefix and cache ownership instead,,dead_end,,,neo4j-agent-memory-demo,demo-api,,node,20,npm|permissions|security,eacces|permission denied,node_modules,npm,EACCES: permission denied,,,
mem_seed_001,semantic,positive,Prefer explicit tool invocation,Use explicit user intent before running tools,agent|safety|ux,0.80,0.20,,
mem_seed_002,semantic,positive,Keep prompts short and structured,Structure prompts with headings and bullet lists,prompt|writing,0.78,0.15,,
mem_seed_003,semantic,positive,Use stable ids in citations,Include stable memory ids in injected context,memory|citation,0.80,0.20,,
mem_seed_004,procedural,positive,Debug ESM import issues,Check package type module and file extensions,node|esm|typescript,0.80,0.25,"{""symptoms"":[""module not found""],""likelyCauses"":[""wrong extension""],""verificationSteps"":[""Check package.json type""],""fixSteps"":[""Use .js in imports""],""gotchas"":[""Mixed CJS and ESM""]}",
mem_seed_005,semantic,negative,Anti pattern silent error handling,Avoid swallowing errors without logging,observability|antipattern,0.85,0.15,,"{""action"":""Swallowing exceptions"",""whyBad"":""Hides failures"",""saferAlternative"":""Emit structured error events""}"
mem_seed_006,semantic,positive,Prefer deterministic tests,Control time and randomness in tests,testing|determinism,0.80,0.20,,
mem_seed_007,procedural,positive,Create a Neo4j fulltext index,Create fulltext index on title and content,neo4j|fulltext,0.85,0.25,"{""symptoms"":[""fulltext query fails""],""likelyCauses"":[""index missing""],""verificationSteps"":[""SHOW INDEXES""],""fixSteps"":[""CREATE FULLTEXT INDEX""],""gotchas"":[""Wait for index online""]}",
mem_seed_008,procedural,positive,Create a Neo4j constraint,Use IF NOT EXISTS for id uniqueness,neo4j|schema,0.80,0.20,,
mem_seed_009,semantic,positive,Prefer small composable modules,Keep single responsibility modules small,architecture|solid,0.78,0.15,,
mem_seed_010,episodic,positive,Episode improved seed determinism,Switched to deterministic data generation,episodic|devex,0.70,0.10,,
mem_seed_011,semantic,positive,Use MERGE for idempotent seed,Prefer MERGE and IF NOT EXISTS in seed scripts,neo4j|seed,0.82,0.20,,
mem_seed_012,semantic,negative,Anti pattern huge seed transactions,Avoid giant transactions that time out,neo4j|antipattern,0.80,0.10,,"{""action"":""Single huge transaction"",""whyBad"":""Timeout risk"",""saferAlternative"":""Chunk writes""}"
mem_seed_013,procedural,positive,Chunk batch writes,Write in batches of 50 or less for speed,neo4j|performance,0.80,0.20,"{""symptoms"":[""seed slow""],""likelyCauses"":[""large tx""],""verificationSteps"":[""Measure runtime""],""fixSteps"":[""Chunk batches""],""gotchas"":[""Keep idempotent""]}",
mem_seed_014,semantic,positive,Use tags to improve retrieval,Tags enable fast matching and grouping,memory|tags,0.78,0.15,,
mem_seed_015,semantic,positive,Separate retrieval from execution,Retrieve context then run the agent,agent|ux|safety,0.82,0.20,,
